,categories,headers,contents
0,politics,"Putin to undergo cancer surgery, transfer power to ex-FSB chief: report","Russian President Vladimir Putin is set to undergo cancer surgery and temporarily hand over power to a hardline former federal police chief, according to a new report.

Putin will transfer control of Russia’s government to Nikolai Patrushev, head of the Russian federal police’s Security Council, while he is incapacitated during and after the procedure, according to a video from the mysterious Telegram channel “General SVR” on Saturday.

The channel — which is purportedly run by a former Russian Foreign Intelligence Service lieutenant general known by the pseudonym “Viktor Mikhailovich” — reported that Putin has been told by doctors that he must undergo..."
1,politics,The DeVos family has donated almost $200 million to keep Republican governors as leaders since 1999,"Since 1999, Betsy DeVos' family has reportedly donated almost $200 million as regular donors to several Republican leaders who preceded Governor DeSantis -- including the governor himself."
2,politics,"CNN Exclusive: Ivanka Trump talked to January 6 committee about what was happening inside White House that day, panel chairman says","(CNN) — The Trump family's cooperation with the House select committee investigating the January 6, 2021, attack on the US Capitol -- and Ivanka Trump's appearance in particular -- has proven useful in confirming other key testimony about the state of play inside the White House as well as then-President Donald Trump's state of mind that day."
3,politics,AOC has a message for Americans who already paid off their student loans: 'We can support things we won't directly benefit from',"""Maybe student loan forgiveness doesn't impact you,"" Rep. Alexandria Ocasio-Cortez wrote on Instagram. ""That doesn't make it bad."""
4,politics,Advisor to Ukraine’s President Says Russia Is Preparing a ‘Zerg Rush’,"An advisor to Ukrainian President Volodymyr Zelenskyy said Russia might be preparing a Zerg rush for Ukraine, using a term from the real-time strategy game Starcraft to describe deadly developments in a previously unimaginable land war in Europe. Oleksiy Arestovych went on to a chat show hosted by disbarred Russian lawyer and opposition political figure Mark Feygin to discuss the state of the war on April 30."
5,politics,Russia Risks Losing Its Power in the Black Sea,"The country has worked to control the water for centuries, but is losing its grip after losses suffered during the war in Ukraine and having its access cut off."
6,politics,Pennsylvania transgender woman first female four-star admiral in U.S. history,(U.S. Department of Health and Human Services/WikiCommons) Rachel Levine is the U.S. Assistant Secretary for Health and former Pennsylvania Health Secretary. She is the highest-ranking transgender official in U.S. history.
7,politics,Ron DeSantis says he would never attend a White House Correspondents' Dinner with a 'cabal' of 'reviled' people,"""I think it just shows you why that cabal of people in DC, New York, are so reviled by so many Americans,"" he said. As president, Trump didn't attend either."
8,politics,"Biden mixes up job title, says he’s nation’s first senator from Delaware","President Biden on Monday mixed up his job title, telling a crowd at the White House that he was the nation’s first senator from Delaware when he meant to say president.

Biden, who turns 80 this year, is the oldest-ever US president and Republican critics routinely accuse him of being in mental decline, citing gaffes and instances where he appears to lose his train of thought.

“There have not been many of the senators from Delaware. It’s a small state. As a matter of fact, there has never been one. And so I want to take advantage of making sure I introduce..."
9,politics,"Texas woman in disbelief after landlord increases rent from $1895 to $2750 per month, but it's perfectly legal",What would you do if your rent increased more than $850 per month? This is the unfortunate reality that many Texas renters are facing right now. A Texas woman named Kara recently posted a video online showing an email she received from her landlord letting her know that her rent would be increasing from $1895 to $2750 per month.
10,politics,DeSantis rips Trevor Noah for ‘lying’ about his presence at correspondents’ dinner,"Florida Gov. Ron DeSantis ripped comedian Trevor Noah for “lying” about his presence at the White House Correspondents’ Dinner last week, noting that his interest in the annual event is nil.

Noah said the Republican firebrand was in the audience at one point during the show before tossing a few jabs at the phantom Floridian.

“One of my favorites, Ron DeSantis, is here,” Noah declared. “Oh man, I’m actually surprised that he found the time. You know he has been so busy trying to outmaneuver Trump for 2024. I see you, Ron. I see you, player.”

DeSantis clarified Monday that he was not..."
11,politics,"Kardashians Win Blac Chyna Defamation Lawsuit, No Damages Awarded","The jury in Blac Chyna's trial against Rob Kardashian and his family has reached a verdict. After deliberating, the jury decided that no monetary damages should be awarded to Blac Chyna, thus ending the weeks-long case. The verdict was delivered on Monday in L.A. Superior Court. The trial lasted two..."
12,politics,Jack Brewer files police report against MSNBC host Joy Reid over comments about Black children being used at DeSantis photo-op," Former NFL player Jack Brewer is asking MSNBC host Joy Reid for an apology after he filed a police report against the cable news anchor last week over comments she made that criticised a group of Black boys being pictured with Florida Gov Ron DeSantis during the signing of an anti-critical race theory bill.On 23 April, the Florida governor signed a measure, already being challenged in court over First Amendment concerns, that would regulate what teachers can discuss around racism, sexism, and issues of systemic inequality in the classroom.The bill, which Mr DeSantis aptly named “Stop W.O.K.E.” (Stop the..."
13,politics,UN nuclear watchdog says Russia has sent nuclear specialists to captured plant in Zaporizhzhya,"This article was originally published by Radio Free Europe/Radio Liberty and is reprinted with permission. The International Atomic Energy Agency (IAEA) has said that it has been informed by Kyiv that Russia has sent nuclear specialists to help monitor the Zaporizhzhya power plant in Ukraine’s southeast. The nuclear plant,..."
14,politics,Ukraine and Russia: What you need to know right now,"May 3 (Reuters) - Russia unleashed rockets on Tuesday on an encircled steel works in Mariupol, Ukraine's last redoubt in the port city, after a ceasefire broke down with some civilians still trapped beneath the sprawling site despite a U.N.-brokered evacuation. read more. * At least 10 people were killed..."
15,politics,Trump’s border wall has resulted in ‘unprecedented’ increase in migrant injuries and death,"‘This is an unseen public health crisis happening right now,’ says a medical director at UC San Diego Health."
16,politics,Russian Ship Near Hawaii's Waters Grabs Military Attention Amid Ukraine War,"""I can tell you we are monitoring a Russian surface vessel operating in international waters in the vicinity of Hawaii,"" an Indo-PACOM spokesperson said."
17,politics,"Judge rejects Republican National Committee lawsuit against January 6 committee, says panel is properly constituted"," A District of Columbia federal judge has thrown out a Republican National Committee lawsuit which sought to block the House January 6 select committee from accessing records related to GOP fundraising emails sent in the days before the attack on the Capitol by Donald Trump supporters. In March, the RNC filed suit against the nine-member panel after Chairman Bennie Thompson issued a subpoena to Salesforce, the owner of a digital tool the GOP uses to create and distribute fundraising emails, seeking documents and testimony “regarding whether and how the Trump campaign used Salesforce’s platform to disseminate false statements about..."
18,politics,Ted Cruz mocks GOP candidates for praising Trump after backing him despite insults to his wife and father," Ted Cruz mocked GOP candidates in the Ohio Senate Republican primary for jockeying for the support of former President Donald Trump. Mr Cruz has backed Mr Trump despite previous the former president’s previous insults against Mr Cruz’s wife and father. The Texas senator was campaigning for former Ohio Treasurer Josh Mandel in Kettering, Ohio on Friday, saying that “when I look to candidates, I don’t look to see what they say on the stump, because they all say the same darn thing”. “Every candidate says ‘I love Donald Trump. No, no, no – I love Donald Trump more. No,..."
