,category,header,content
0,weather,Rain,
1,weather,OpenMapWeather API with Python,
2,weather,Extreme weather events- welcome to the new normal,
3,weather,Coding and Cantrips,
4,weather,Snow In May?,
5,weather,JUST LOOK UP: A Simple Guide to Reading the Sky,
6,weather,10 Proverbs and sayings about weather. How much scientific truth is in them?,
7,weather,Climate Change is Probably Far Worse Than We Think,
8,weather,Those Amazing Little Hummingbirds Have Returned,
9,weather,Weather rambling — Sleighing in May,
