,category,header,content
0,technology,"6 Lessons Learned from Selling My Side Project for $20,000.","The story of how I acquired an abandoned side project, monetized it, and eventually sold it for $20,000. —  The Origin Story I’ve wanted to be an entrepreneur my entire life but never had any true success. I would often come up with new startup ideas, make a landing page, tell all my friends about my idea…and then never actually get any customers. In April of 2021, I decided that I wanted… Today, I just tried to apply two…"
1,technology,"Factions, Orders and the Great Seeker Clans","Bringing Seekers closer together… —  With some 50,000 Seekers out in there in the metaverse for eons, coming together was inevitable. The curious and socially-focused beings that they are, over their many years out exploring the metaverse, Seekers couldn’t help but gravitate towards each other. Finding solidarity, pooled resources and ways to combine effort, Seekers…"
2,technology,Understanding the Irrationality of π,"An indescribably beautiful proof —  In this article, we will carefully try to understand why π is an irrational number. We will do this by going through what is in my opinion one of the most beautiful and creative proofs in all of mathematics. In my last article, we proved that the star of calculus…"
3,technology,4 Apps That Will Make You More Productive as a Data Scientist,"Become more productive when writing code, taking notes, organizing tasks, projects, and more! —  A data science workflow is full of tasks that need to be done yesterday. If we add everyday office tasks such as going to meetings and replying to emails, the list of things to do is endless. Fortunately, there are apps that can help you become more productive and focus… Old News: In… His fans just went…"
4,technology,We’re Uncovering One of AI’s Deepest Mysteries,"The black box problem is a secret between machines —  The black box problem is a profound mystery surrounding AI. It says that we may understand the input, we may understand the output, but the AI’s decision-making process which bridges these two is a black box we can’t seem to peer inside. When given the task of helping diagnose patients… It doesn’t make sense. When everything is blooming and getting to color, I decided to take photographs in black and white. But monochrome photography is more than just the lack of color."
5,technology,"The Best Note Making App isn’t Mem, Roam, or Obsidian","It’s the one at the intersection of your needs and your values —  In Better Humans Daily #189 Coach Tony asked which of the big three note-taking apps is better: Mem, Roam, or Obsidian? That’s a mighty tough multiple choice question, so I’m here to add option D: the one you need. Asking which Notes app is best is like asking — what… Bitcoin has a fixed…"
6,technology,Polylastic Announces Strategic Partnership with Hero Galaxy,"Polylastic is excited to announce a strategic partnership with Hero Galaxy! One of the largest NFT and gaming platforms, Hero Galaxy offers to play, stake, and earn opportunities within the NFT Worlds Metaverse. Their native token, WRLD, is held by over 40,000 users across the Ethereum and Polygon networks. Through… The… Among all the lessons they were able to teach the financial world during their brilliant careers…"
7,technology,The Metaverse Revolution — Meet Our Advisors Series: Aaron Lee-Zucker,"We are excited to introduce Aaron Lee-Zucker to the Realm community in this latest installment of our “Meet your Advisor Series”. You can find the previous installments of this series on Barry Herbst, Michelle Tsing, and Matthew Land/David Marshall, and David Ham on our Medium. Aaron Lee-Zucker has 22 years… When Netflix started producing instead of just distributing content, it was a big risk, but it seemed to pay off. After they first produced House Of Cards in 2013, subscriber growth took off."
8,technology,10 Beautiful Productivity App Concepts You’d Wish Were Real,The most stunning productivity software you’ve ever seen —  Sometimes someone will release a design or visual of the future of apps/tech/products and you just melt. This is pure productivity love below! 👇🏼 We’d recommend checking out the designs below but remembering that whatever you choose as your productivity app — the best apps are the ones you stick with versus change from. 🌿 🍱 Bento is real! 😉 🌿
9,technology,Camera upgrade for the Sony Xperia 1 IV 📱,"According to the rumor mill, the new Sony Xperia 1 IV flagship smartphone will include a selfie camera improvement but will not come with a charging adapter. That latter trend (via Notebookcheck) is unsurprising, given that most phone makers are following suit. … Set the value Property of the Select Drop Down We can change the HTML select element’s selected option with JavaScript by setting the value property of the select element object."
10,technology,"If I Could Only Learn 6 Programming Languages in My Life, I’d Learn These","There is so much to learn, let’s narrow it down to only six —  If you were given an option to only learn six programming languages in your life, which would they be? Learning any language doesn’t hurt. If you had all the time in the world, you could learn as many languages as you’d wish. Time is a scarce resource and the world…"
11,technology,Building for People: The Architecture-to-UX-Research Connection,"As UX researchers with backgrounds in architecture and urban design, we’ve experienced some powerful parallels between the two fields. Here’s how our architecture work uniquely prepared us for UX. —  By Maude Baggetto, Kimberly Voisin, Blake Weber, and James Moustafellos What do building the world’s tallest skyscrapers and designing future urban environments have in common with creating products at Meta? Well, a lot more than you might think! In our prior lives, the authors of this piece worked as researchers…"
12,technology,My Google Coding Interview Question,"At Google I’ve done over 200 interviews and evaluated over 50 hiring packets. One thing is clear, and that interviewing is hard. Signals are all over the place. Both the interviewer and interviewee have less than one hour to do their best. Sometimes, for any number of reasons, we get…"
13,technology,Swapnex: Earn 1000 every FOUR days passively and breakeven in 29 days,"I am a fan of passive income and today I am going to share how to earn 1000 every FOUR days passively and breakeven in 29 days. If you refer to my earlier post, I started out with $2190 initial capital, earning $50 per day. However, I have found a…"
14,technology,Change.org Named Finalist as Fast Company 2022 World Changing Ideas Company of the Year,"World’s largest tech platform for social change also named finalist as Employee Size: Midsize and receives Honorable Mention for Racial Justice Fund in General Excellence and CSR categories Change.org, the world’s largest tech platform for social change, today announced their recognition as a finalist for Fast Company’s 2022 World Changing Company of the Year. This prestigious honor is part of Fast Company’s annual World Changing Ideas Awards, which honors products, concepts, companies, policies, and designs that are driving…"
15,technology,5 Elements of High-Quality Software,"Five-factor development methodology for building modern software systems —  Programmers typically work with desktop, mobile, web, and embedded applications using various development tools and dependencies. Meanwhile, some programmers develop frameworks, software libraries, operating systems, and developer tools to support programmers who develop applications. Every programmer strives to improve the quality of their software systems to achieve success in their…"
16,technology,5 of the Biggest NFT Drops in May 2022,"A highly popular comic strip character, cool 3D mechas, and the third drop from a land-based strategy game —  May is turning into another busy month in the NFT space with several big drops happening in the next few days. I already covered some of them in my previous guides, including L.O, Kahiru, NFT Worlds Avatars, Blvck Genesis, Yogies, and SixthRéseau, all launching in the next two weeks. The…"
17,technology,"Apollo DAO, The $Astro Vacuum","Terra is still a burgeoning ecosystem in many respects. If you haven’t been around for the last year, a lot has changed. Not only has UST gained significant adoption on an inter-chain level, but the sheer number of teams building on Terra has exploded as builders and users have been…"
18,technology,Dataclass — Easiest Ever Object-Oriented Programming In Python,"A Python built-in decorator reduces the complexity and length of your code —  Object-oriented programming (OOP) in Python is always one of the hot topics. This is because Python is famous because its flexibility and out-of-the-box features which can reduce the development efforts to a large extent, which is also true for OOP. I have written several articles about using Python in an…"
19,technology,How to Change an HTML Selected Option Using JavaScript?,"Sometimes, we may want to change the selected drop-down option with JavaScript. In this article, we’ll look at how to change an HTML selected option with JavaScript. Set the value Property of the Select Drop Down We can change the HTML select element’s selected option with JavaScript by setting the value property of the select element object. For instance…"
20,technology,Instagram is testing a new TikTok-like full-screen feed,"Instagram is testing a new layout that would make the app look even more like TikTok. According to TechCrunch, Instagram is experimenting with full-screen vertical home feeds. Upon opening the Instagram app, users immediately see vertical content meant to “bring video more front and center.” Instagram’s Tiktok Style Layout:"
21,technology,Design flaws in everyday things: Ninja Air Fryer,"Air fryers have become an essential appliance in most kitchens. One of the most versatile kitchen appliances made, it can cook a steak just as well as it bakes bread. I’ve found one easily fixable design flaw in my air fryer. Machine: Ninja Air fryer (I suspect what I will be writing about includes…"
22,technology,Austria buys JavaScript from Brendan Eich.,"Brendan Eich, the creator of JavaScript, has announced that he has sold the rights to the programming language to the Austrian government. The move comes as a surprise to the tech industry, as JavaScript is one of the most widely used languages on the web. In a statement, Eich said…"
23,technology,We’re in an NFT Bubble; Here’s How To Survive The Burst,"I need not retell stories of how NFTs sell for millions of dollars. Those are old news. Instead, what's worth considering is if any of it is sustainable. Will the boom continue perpetually? And most importantly, how can you stay afloat in the case of a burst? Old News: In…"
24,technology,How to build Taxi booking system like UBER/OLA!,"Problem Statement: In past people did offline bookings for taxi services which was time consuming, had accessibility issues and many a times costly as well. With the advent of various online service providers, cab booking is longer a painful task for the consumers. Consumers can now login into the website…"
25,technology,Most Popular Tags on Medium — 2022,Use these tags and help your story go viral —  As I mentioned in a previous article using tags the correct way on Medium can really help get your story out in front of more people. Using tags that have a lot of followers will help your story perform better. Here is a list of the 20 most popular tags…
26,technology,"Trump Is Back on Social Media, and He’s Been Busy","Truth Social may finally be relevant —  When former American president Donald Trump was booted off Twitter and Facebook for allegedly inciting the January 6th insurrection, he vowed to return on a platform of his own creation. The platform that resulted, Truth Social, launched on Presidents Day this year and was plagued by issues ranging from server…"
27,technology,Tesla’s Netflix Problem,"Competition incoming —  Tesla is about to run into the same problem that Netflix is running into. Competition. Netflix When Netflix started producing instead of just distributing content, it was a big risk, but it seemed to pay off. After they first produced House Of Cards in 2013, subscriber growth took off. Producing content…"
28,technology,The Artist Pyramid of Needs ⟁,"Most probably you will have heard that TikTok is getting into music distribution. That means that artists and labels will be able to go directly to SoundOn (TikTok’s distribution platform) and distribute their music, not only to TikTok, but also to all other DSPs, directly from there. This raises the…"
29,technology,What does a Data Engineer do at work?,"For those who are unfamiliar with data roles, I hope this article will give you a general idea of what a Data Engineer does as I share what I do at work for a consulting firm. Based on the spider chart below, initially, I was mainly doing Data Engineering, Database…"
30,technology,Why this Time the Tech Bubble is Different?,"We are in a stock market carnage. Pandemic darling stocks Zoom, Peloton, Carvana, and many other NASDAQ stocks have tumbled from their highs. FAANG + Microsoft stocks have lost close to $1.4 trillion of value due to the market meltdown in April. …"
31,technology,I’m a UX Writer. Here’s how I work with PMs and Designers.,"Whenever I chat with new UX Writers getting into their first jobs, one thing that almost always comes up is how best to work within the product team. Sure, it’s easy to say that we as UX Writers should be involved early on in the design process, or that wherever…"
32,technology,Why The Government Was Playing With Balloons Around The Roswell Crash Site,"Who said a weather balloon couldn’t be interesting? —  I want you to imagine something for a second. Pretend you’re a child and you fall out of a tree, landing with a terrible thud. Pain riddles through your body. Tears well up and you cry as loud as you can. Then, it gets weird. …"
33,technology,Safety — The Comprehensive View,"The influence of vehicle dynamics on the functional safety of ADAS/AD. —  The integration of ADAS/AD functions in vehicles serves one goal: To ensure and, where possible, increase the safety of all road users. But what needs to be considered in the validation of intelligent systems? …"
34,technology,Technology and History Somewhere in Nature,"A monochrome photography session —  It doesn’t make sense. When everything is blooming and getting to color, I decided to take photographs in black and white. But monochrome photography is more than just the lack of color. It’s about shapes. Contrasts. Darkness. And light. It is about feelings."
35,technology,Psychological violence: protagonist of many toxic relationships,"Was it me who caused it? Do I deserve it? These are just some of the questions raised by the victim of psychological abuse. An ambiguous field… Let’s talk about emotional abuse What’s the first thing that comes to mind when you hear the word abuse? Cerebrovascular accidents (CVA), burns…"
36,technology,What happens when metals slide,Tracking grains in real time —  Any type of change in metals — say malleability or ductility — ultimately comes down to the movement of one grain against another. Let’s back out a bit — every metal is like a brick wall — it is made of multiple bricks stacked on top of each other into…
37,technology,ARPA Integrated on E-Commerce Platform Uquid as Payment Method,"Dear community, We are thrilled to announce ARPA Chain and Uquid, a pioneering crypto e-commerce platform utilizing DeFi features and convenient payment solutions, form a strategic partnership to integrate ARPA token on Uquid’s shopping platform. The integration will allow ARPA token holders to purchase over 40 million products and services…"
38,technology,Towards Ethical AI,"Implications of Becoming One with the Machine —  Artificial Intelligence (AI) is probably the most disruptive technology of our time; it can alter the way we live and how we think. I believe AI will be the technology which will enable us to “mediate between the fast-paced future which technology is enabling, and the slow-paced human response” as…"
39,technology,3 Easy Ways to Boost Your Energy on a Busy Working Day as a Developer,You might be surprised by how easy it gets to re-energize yourself while having a busy day —  Sometimes working for long hours becomes tiring and you don’t feel like continuing your work. This happens to most of us and is completely normal. Once I was assigned an extra task related to programming by my manager and it made me completely tired. I was in no mood to…
40,technology,"<ForrigeUke uke=”17"" år=”2022"" />","Dette var uken for en sniktitt inn i fremtiden med AI 🤖, Elon Musk avslører sine fremtidsplaner 🥤, og hvor utviklere endelig ble definert 👩‍💻. Og 516 ting skjedde i frontend-verdenen! <ForrigeUke /> er en artikkelserie som oppsummerer hva som skjedde i frontend-verden i uken som var. Oversettelse av TypeScript feil En person jeg…"
41,technology,100 Days of AWS — Day 25- Rotating IAM Keys on a regular basis using Boto3,"To view the complete course, please enroll it using the below link(it’s free) https://www.101daysofdevops.com/courses/100-days-of-aws/ Welcome to Day 25 of 100 Days of AWS. The topic for today is Rotating IAM Keys on a regular basis using Boto3 This is another common use case we use to encounter as a part…"
42,technology,Vulnerabilities that shook the internet,"Introduction Every day of every month, a large number of security vulnerabilities are reported, many of which can have serious consequences for your applications, websites, and network infrastructures, with many of them leading to Remote Code Execution, such as the log4j vulnerability. In this blog post, we’ll go over a few…"
43,technology,"What is Metaverse — Blah, Bleh, Blah Blah …","Weird?? Surprised … ?? Last night, my sister and I were watching Avatar movie for the 5th time and pretty sure most of you must have seen it at-least once.
We were discussing about how the animation & picturization felt so realistic in 3D effects, it was just mind-boggling…right!! …"
44,technology,Apps for Academia: Made By and For the Disability Community (Part 1),"Inaccessibility is a huge problem on college campuses. From thriving in classes to finding your first job, these (free) apps were built by disabled creators to help you navigate higher education more confidently. Thriving in Classes PresentPal Present Pal helps you create personalized and easy-to-follow notes for your presentations with built-in accessibility features like…"
45,technology,A New Philosophy of Technology: a Phenomenological Analysis,"Hitherto there’s been, for reasons that I’ll elaborate on later in the essay, an utter lack of discourse within the philosophical world on the issue of technology as it pertains to the human essence. So, ostensibly, there’s been a sort of death of the human being viewed not from…"
46,technology,This Is Why I’m Still Using the 2022 iPhone SE,"And what it says about modern flagship smartphones —  I bought the 2022 iPhone SE to review — that’s all. I thought I’d use it for two or three weeks and then switch back to my beloved iPhone 13 mini. However, nearly two months in, I’m still using Apple’s cheapest iPhone. It’s my main daily driver, and the phone…"
47,technology,How To Really Solve This Tricky Algebra Problem? (II),"If you are into old-school algebra and analysis, you will enjoy this one! —  When you take a look at this, it does not come across as a tricky algebra problem at all. But think again. …"
48,technology,Top 10 AI Articles for April 2022,"Artificial intelligence (AI) newsletter by Towards AI #18 —  If you have trouble reading this email, see it on a web browser. Hey everyone. I hope you are all well. In this issue, we dive into our 10 favorite AI articles published by our exceptional contributors in April, including some solid techniques on cross-validation, trends in AI, the infrastructure…"
49,technology,Fullstack Developer Setup 2022,People often ask me about my setup or make fun of my ‘silly’ keyboard. But there is a reason for what looks like a joke. The following paragraphs try to describe my approach to increasing productivity. Hardware It’s worth mentioning that I generally speak about two setups when saying ‘my setup.’…
50,technology,How to Write Better React Redux Components,"The two principles you should implement to write better code. —  So you’ve been assigned a refactoring task and now you’re wondering how to start off in the best possible way. What are the steps to take to complete it? We’ve all been there. Probably there’s no magic recipe to becoming a good programmer. Today, I just tried to apply two…"
51,technology,Are We Building the Digital Divide 3.0?,"A split between the physical world and digital world may be brewing In March 2019, I made a remarkably neutral comment about a political actor charged with white-collar crimes on a colleague’s Facebook post. I thought nothing of it and closed the app. Within a few hours, however, I received…"
52,technology,New funding announced for three Australian start-ups harnessing the power of technology for good,"Humanitech, an initiative of Australian Red Cross, has announced funding for three local initiatives addressing humanitarian challenges through the innovative use of frontier technologies. Three Australian start-ups are receiving a funding boost this week as part of Humanitech’s Innovation Lab, which supports new organisations applying emerging technology to social and…"
53,technology,What is the use of a data source name (DSN) in Java database connectivity (JDBC)?,"A DSN is a string that specifies the location of your database, including information about the database system to use and the location of various related files. A DSN is a required parameter for many JDBC API methods, including DriverManager.getConnection(), Connection.createStatement(), Connection.cursor(), and Statement.execute(). You provide a Data Source Name…"
54,technology,Narrowing The Gap Among Technology As Well as the Common Good,"The progression of PC power can possibly change our development, and it has proactively done as such in an assortment of ways. Pretty much every area is currently determined by innovation. Nonetheless, it is changing society such that inclines toward the making of significant worth for brands and organizations, eclipsing…"
55,technology,Why Does Apple Still Choose Lightning Over USB-C For iPhones?,"The hidden truth that you might not realize. —  If you have been using iPhone since 2012, you may remember the introduction of the iPhone 5, with its redesign and taller look. But not just that, this is also the year that Apple introduced a new connector called “Lightning” that replaces the 30-pin dock connector. The Lightning connector has…"
56,technology,Indus: Incentivized Testnet of MOI,"In this post you’ll learn more about MOI (My Own Internet) protocol’s Incentivized Testnet — Indus and know how to get involved. Hello world 👋 Over the past few years, we have been building an L1 protocol where each user gets their own blockchain and the network has the intelligence to offer a…"
57,technology,Why The Founder of Discord Turned Down a $10 Billion Offer,"Let’s chat about Discord —  I have twin fifteen-year-old sons. They spend approximately 50% of their waking hours on Discord. They used to hang out with me, but now it’s all online chatting to friends. Discord has replaced Dad. For those without addicted sons, Discord is a VoIP, instant messaging, and digital distribution platform. It…"
58,technology,11 Stages To Become A JavaScript Full-Stack Engineer,"Kickstart Your Career And Become A Full-Stack Developer —  Recently, I have received multiple messages, mostly from newcomers that have just graduated and stepped into the world of coding. Most of the questions asked are about how to quickly improve their skills, how to become a Full Stack Developer, or how to choose a career direction. While I try…"
59,technology,"Elon Musk is the Prince of the Air (quod scripsi, scripsi)","The history of the book in the West is intertwined intimately with dynamics of religion, technology, and private wealth. Invisible in the history of the Church Fathers and their vast textual output are the expenses behind their theological labor: the unending forests of papyrus and the tens of thousands of…"
60,technology,How to Turn Your Old Smartphones into New Home Security Cameras,"Don’t let your old phones die in peace, you aren’t done showing them the filth of the world just yet. Well then, welcome back. Ok let’s just get straight to the point then, you need some security, you need to protect your turf, your family, your pets and your awesome…"
61,technology,Your Old Technology Can Make A Difference In Someone’s Life,"And you might just feel good about it as a result —  I’ve been very lucky in my life. When I’ve wanted a new piece of technology I’ve generally been able to get it. These devices may not have always been flagships, but they were good devices for me at the time. Well, most of the time they were good devices —…"
62,technology,An Analysis of the Trends on dev.to,"In the past few years, dev.to has become a big player in the international tech blogging community, with a focus on software development regardless of the industries. With audiences from all around the world, I find it to be an inclusive community with diverse user backgrounds and is surely a…"
63,technology,Design for Experience,"Product experience can be defined as the entire set of affects that is elicited by the interaction between a user and a product, including the degree to which all user’s senses are gratified (aesthetic experience), the meanings user attaches to the product (experience of meaning), and the feelings and emotions…"
64,technology,Leetcode — What is a Palindrome?,"A Leetcode approach to Algorithms and Datastructures. —  Photo by Markus Spiske on Unsplash Always think of programming as solving puzzles and when it comes to puzzles, playing around with palindromes as a concept can help you jog your mind and keep your programming muscles fit. This article will first define the concept and then use a “leetcode”…"
65,technology,How to become a millionaire by investing $100 per month?,"In this article, I will explain how to become wealthy without effort and reach performances worthy of the most significant investment funds in the world without leaving your room and getting tired. —  We regularly tell you about those billionaires who have made their fortune without having created wealth simply by exploiting the financial markets. George Soros, Warren Buffet, and Michael Burry are the most famous examples."
66,technology,Internet Security Awareness — Humans are the Weakest Link,"99% of Cyberattacks require human interaction to execute — Source: ProofPoint There is no doubt that the internet has revolutionized our lives in countless ways. We can now easily connect with others, access information, and manage our finances from the comfort of our homes. However, with this amazing new technology…"
67,technology,Tor Browser: The Gold Standard,"Tor is free software and an open network that helps you defend against traffic analysis, a form of network surveillance that threatens personal freedom and privacy, confidential business activities and relationships, and state security. This article is about the Desktop Tor Browser Bundle, which is based on Firefox. …"
68,technology,What is Elon Musk Hiding from All of Us?,"Hidden reasons behind the Twitter sell-out! —  The world’s richest man just bought his favorite thing. Everyone can’t get enough of it. He now owns SpaceX as well as Twitter. Musk appears to be thinking, “I’ve seen the stars. Now it’s on to Hell.” It’s amazing how much money you can save when you don’t have to…"
69,technology,How I Will Play The $ASTRO Wars,"In my last article, I explained the details of the $ASTRO wars and why Retrograde has a very interesting concept that could be worth looking into. You can read it here. So much stuff happened in the meantime, it’s quite hard to keep up with everything: Almost all participants either…"
70,technology,My Mac Odyssey,"The journey from PC to Mac —  Within the next seven days, my Mac world and set up will change. I will be counting myself lucky and fortunate as my new 16"" M1 Max MacBook Pro will be landing with me in these next few days. I am certain, somewhere down the line I will buy another…"
71,technology,8X Your Own Programming Work,"In simple steps that anyone can implement. —  It seems we always mention this whole ""10x programmer"" thing in passing - but as so often, the biggest impact happens in the middle. So today, I want to talk about a few simple steps and habits that any programmer can implement to increase the value of our work …"
