,category,header,content
0,weather,Hotter Than Hades!,
1,weather,How to Beat the Heat: See It Coming (More than a Week Ahead!),
2,weather,"Rain, Snow, and Earthquakes",
3,weather,"Summer Climate Outlook in New England After Record Heat, Record Cold and Then Snow",
4,weather,Rolling back the years with a new style of farming,
5,weather,Mizzle,
6,weather,The actual visuals of climate change I saw,
7,weather,Flying into a Storm — and a $hitshow,
8,weather,La Niña Keeps on Coming,
9,weather,3 Things That Went Well This Week,
