,categories,headers,contents
0,weather,"Cyclone Asani to Intensify Into Severe Cyclonic Storm on May 9; Know All About Its Movement, Landfall, Deintensification","Sunday, May 8: During the early hours of Sunday, May 8, the potent system based in the Bay of Bengal intensified into a Cyclonic Storm, effectively transforming into Cyclone Asani. From here on, it is expected to gather more strength and evolve further in the next 24 hours. A rapid..."
1,weather,Wildfires Threaten All of New Mexico and Much of the Southwest,"The fifth-largest state in the nation (in terms of area) is currently under what its governor described as a “Critical Fire Weather Warning.” The state is New Mexico, the governor is Michelle Lujan Grisham, and the fires are numerous. Think that sounds worrisome? It gets worse from there. New Mexico isn’t alone in facing a heightened risk of wildfires — according to a new Washington Post article, pretty much the entire Southwest is."
2,weather,"Rain, snow and wind targets western US this week","AccuWeather meteorologists say the stormy weather pattern is likely to bring a host of travel disruptions across the western part of the country. All modes of weather are set to spread across the West this week, including snow despite the calendar reading May. The first of two major storms to..."
3,weather,US: Potent Storm System Can Develop Into a Tropical Depression Off the Coastal Atlantic,"A potent storm system over the Atlantic Ocean, off the East Coast of the United States, is reportedly possible to develop into a tropical depression or a low-pressure area (LPA), which can affect coastal areas from New York to Florida in the coming days. The said system may arrive a..."
4,weather,The window of opportunity to address increasing drought and expanding drylands is vanishing,"Chile, Argentina and the American West are in the midst of a decade-long, megadrought — the driest conditions those regions have seen in a century. And many areas in Western Canada and the United States are experiencing extreme drought — a once in 20-year event.   

Drought makes agriculture less productive, reduces crop yields and increases heat-related deaths. It adds to conflict and migration, as marginalized people are dispossessed of their land. In short, it leaves people more vulnerable. 

Drought is part of natural climate variability, but it is also one of the many outcomes of climate change that..."
5,weather,"Warm, dry weather set to spread into the Northeast","Much of the mid-Atlantic and Northeast have been gripped by a wet and chilly pattern in recent days as rounds of rainfall have swung through the area. However, AccuWeather forecasters say that a major shift is on the horizon as warm and dry weather is set to spread over the Northeast during the coming week."
6,weather,The World Has No Choice but to Care About India’s Heat Wave,"CHANDIGARH, India—Soon after I arrived in the eastern megacity of Kolkata in February, temperatures began climbing. They always do when India’s short winter turns into an early spring. But then they kept rising. After the hottest March in 122 years of record keeping, the scorching temperatures continued through..."
7,weather,"New Mexico wildfire scorches about 275 square miles, fueled by strong winds and high temperatures","Strong winds, high temperatures, and low humidity continued fanning the flames on Sunday of a devastating wildfire that has already scorched more than 275 square miles in northern New Mexico. ""An exceptionally dangerous and likely historic stretch of critical to extreme fire weather conditions will persist through the middle portion..."
8,weather,"Brighter, Warmer for Monday",Our warming trend begins tomorrow.
9,weather,"Heat, humidity, thunderstorms, and near-record temperatures ahead – Gary",The latest forecast from News 3 Now.
