,category,header,content
0,entertainment,The Wonderful World of Completely Random Facts — Issue 46,
1,entertainment,I Think I Like ‘Better Call Saul’ More Than ‘Breaking Bad’,
2,entertainment,B.J. Thomas and Black Keys guitar hero Dan Auerbach should have cut a record,
3,entertainment,Jak and Daxter: The Precursor Legacy — Revolutionary Platforming,
4,entertainment,“Abbott Elementary” Is a Classic in the Making,
5,entertainment,3 Big Ways The MCU’s Illuminati Differed From The Comics,
6,entertainment,What if Netflix did Healthcare?,
7,entertainment,I (haven’t) been watching stuff.,
8,entertainment,Five Words You Didn’t Know Were Actually French,
9,entertainment,6 Disappointing Things You Didn’t Know About Ikea,
